Price_CLP,Price_UF,Price_USD,Comuna,Ubicacion,Dorms,Baths,Built Area,Total Area,Parking,id,Realtor
78000000,2162.0,95122.0,Cerrillos,Casacerrillosvillaloerrásuriz,3,,50,70,,14517110,
144316000,4000.0,175995.0,Maipú,Cercanoaplazaelhibiscociudadsatélite,5,2,108,172,,14517108,
216474000,6000.0,263993.0,Maipú,Condominiobarriooriente-ciudadsatélite.Maipú,3,2,106,156,2,14517098,
250749050,6950.0,305792.0,Maipú,Condominiobarriocordillera,3,3,123,210,,14517094,
440163800,12200.0,536785.0,LasCondes,Alonsodecamargofrenteatoconao.,3,2,124,278,2,14516866,
205650300,5700.0,250793.0,Macul,Rotondaquilín,5,2,161,200,,14516711,
165000000,4573.0,201220.0,Macul,Vendemoscasaenmacul,4,2,150,177,2,14516689,
129000000,3575.0,157317.0,SanBernardo,Liquidamoscasaensanbernardogranoportunidad,4,3,175,175,,14516661,
86589600,2400.0,105597.0,Paine,Ventacasa2pisoscerrochallay-paine,3,2,54,87,1,14516474,
90450053,2507.0,110305.0,Conchalí,Psjmaracaibo,3,1,92,160,1,14516456,
118000000,3271.0,143902.0,Conchalí,Psjberna,4,2,180,180,1,14516450,
209258200,5800.0,255193.0,Lampa,Casaenchicauma,4,3,92,200,,14516446,
54118500,1500.0,65998.0,PuenteAlto,Rebajadacasade2pisosenvillasantacatalinaptealto,2,1,50,60,,14516365,
115000000,3187.0,140244.0,Renca,Casa4dormitoriosregularizadaapasosdefuturometro,4,1,79,97,,14516363,
319299150,8850.0,389389.0,LaFlorida,Caminolasuperioraaltomacul,4,4,127,390,2,14516198,
358986050,9950.0,437788.0,LasCondes,Av.Manquehue,4,3,260,260,1,14516176,
170000000,4712.0,207317.0,QuintaNormal,Vendecasaesquinagranterreno,4,,101,202,1,14516093,
66385360,1840.0,80958.0,PedroAguirreCerda,Oportunidad!sevendecasapoblacióndávila3d/1b,3,1,47,82,,14516025,
650000000,18016.0,792683.0,SanMiguel,Sevendepropiedadhabitacionalconpotencialcomercial,1,1,132,568,,14516019,
130966770,3630.0,159716.0,SanBernardo,Excelenteoportunidad,3,2,70,149,,14516007,
304037733,8427.0,370778.0,SanMiguel,Sevendegranoportunidadpropiedadhabitacionalycomercial,4,3,185,370,1,14516001,
360790000,10000.0,439988.0,LaFlorida,Sevendaampliacasaenaltomacul,6,5,183,456,,14515989,
245337200,6800.0,299192.0,SanMiguel,Ampliacasaparausoindustrialinofensivo-comercial,5,3,164,384,1,14515969,
